지점명,지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 시각(hhmi),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일조 시간(hr)
속초,90,2018-04-01,17.4,13,1913,22.8,1526,,,,,,10.6,2039,4.8,400,2.3,51.3,12.6,5.4
속초,90,2018-04-02,16.7,6.4,648,25.6,1523,,,,,,13.2,2243,5.7,405,2.6,61.9,12.7,9.8
속초,90,2018-04-03,14.1,7.7,2400,22.6,1027,0.6,2321,1.5,2312,1.6,12.9,50,5.4,1206,2.3,69.4,12.7,6.6
속초,90,2018-04-04,5,3.7,1313,7.7,1,1.1,435,3.9,543,22.6,7.9,714,5,735,1.8,89.9,12.7,0
속초,90,2018-04-05,5.2,4.5,2,5.9,501,1.1,846,3.5,756,11,7.3,837,3.9,855,1,93.9,12.8,0
속초,90,2018-04-06,6,3.3,514,11.1,1614,0.3,36,1.6,408,5.7,12.2,2333,5.7,2346,2.7,72.4,12.8,5
속초,90,2018-04-07,5.3,3.7,2315,8.9,1647,,,,,,15.3,2223,6.4,1921,3.3,40.6,12.9,4.1
속초,90,2018-04-08,5.1,2.2,2045,10.4,1150,0.4,1953,1.8,1945,2.1,13.7,127,6.9,129,3,53,12.9,5.9
속초,90,2018-04-09,9,2,556,15.3,1541,,,,,,7.4,1424,3.7,1303,1.6,49.6,12.9,11.1
속초,90,2018-04-10,14.8,4.5,449,25.5,1341,1,2309,3.8,2229,6,14.8,2108,7.5,2105,2.1,50.3,13,4.5
속초,90,2018-04-11,17.1,14,2304,21.4,1435,0,,0,,0,15.1,524,6.2,1226,3.4,30.4,13,11.8
속초,90,2018-04-12,14.2,10.8,2356,21.5,1630,,,,,,14.6,1104,6.2,909,2.4,32.3,13.1,11.9
속초,90,2018-04-13,11.2,8,459,14.7,1246,,,,,,8.5,2043,5.2,1743,2.6,57.9,13.1,8.1
속초,90,2018-04-14,7.2,5.1,2353,9.6,102,1.1,912,4.1,912,19.1,9,1627,5.4,1633,1.6,91.6,13.2,0
속초,90,2018-04-15,12,5.3,1,16.8,1339,,,,,,8.5,1350,5.5,2303,2.3,51.3,13.2,8.9
속초,90,2018-04-16,10.4,5.8,2310,15,1319,,,,,,8.5,1645,5.7,1723,2.2,58,13.2,12.5
속초,90,2018-04-17,11.5,4.4,415,17,1345,,,,,,9.4,1416,7,1415,2,67.4,13.3,12
속초,90,2018-04-18,16.8,9.8,6,22.6,1244,,,,,,8.5,1510,6.3,1315,2,34.5,13.3,11.9
속초,90,2018-04-19,21.4,14.8,452,26.4,1408,,,,,,12.2,1503,7.3,1507,2.8,23.4,13.3,9.6
속초,90,2018-04-20,16.9,12.4,442,20.9,16,,,,,,5.4,1700,4,1716,1.4,60.6,13.4,11.6
속초,90,2018-04-21,23,15.6,614,32.5,1433,,,,,,7.4,1408,3.9,1629,1.4,25.6,13.4,10.2
속초,90,2018-04-22,12.3,7.7,2355,22.8,121,0.7,1959,1.8,1958,4.8,11.3,352,8.2,355,3.6,59.6,13.5,1.3
속초,90,2018-04-23,7.6,5.5,557,9.5,2323,1.3,929,6.3,853,56.8,7.6,1547,4.9,1601,2.1,93.6,13.5,0
속초,90,2018-04-24,8,4.2,2257,10.7,1529,1.3,247,3,231,12,8.4,213,5.1,40,2.8,87.1,13.5,0.3
속초,90,2018-04-25,10.9,2.5,538,17.3,1241,,,,,,5.5,1601,3.8,1556,1.5,65.4,13.6,12.6
속초,90,2018-04-26,17.1,6.4,148,25.8,1435,,,,,,9.9,1425,5,2353,1.8,51.4,13.6,10.1
속초,90,2018-04-27,13.2,7.1,2344,18.5,1,,,,,,10.9,710,6.2,731,2.4,49.3,13.6,12
속초,90,2018-04-28,19.1,6.1,251,28.4,1522,,,,,,9.2,1409,4.7,1341,1.9,42,13.7,11.4
속초,90,2018-04-29,22.9,16.7,325,29,1522,,,,,,11.1,1845,5.5,1801,2.3,30.5,13.7,10.1
